StoreID,StoreName,Region,StoreType,invoice_year,invoice_month,month_start,monthly_revenue,regional_median_revenue,vs_regional_median_pct,peer_median_revenue,vs_peer_median_pct,return_rate
S030,Columbus Express,Midwest,Express,2024,1,2024-01-01,3740.48,11286.19,-66.9,3740.48,0.0,0.062
S030,Columbus Express,Midwest,Express,2024,2,2024-02-01,5102.15,11793.81,-56.7,5102.15,0.0,0.0688
S030,Columbus Express,Midwest,Express,2024,3,2024-03-01,6791.77,15222.9,-55.4,6791.77,0.0,0.0498
S030,Columbus Express,Midwest,Express,2024,4,2024-04-01,7291.49,14438.4,-49.5,7291.49,0.0,0.0855
S030,Columbus Express,Midwest,Express,2024,5,2024-05-01,7517.71,17459.18,-56.9,7517.71,0.0,0.0814
S030,Columbus Express,Midwest,Express,2024,6,2024-06-01,8462.14,16355.23,-48.3,8462.14,0.0,0.0459
S030,Columbus Express,Midwest,Express,2024,7,2024-07-01,6136.01,14305.71,-57.1,6136.01,0.0,0.0605
S030,Columbus Express,Midwest,Express,2024,8,2024-08-01,8075.57,15771.24,-48.8,8075.57,0.0,0.0644
S030,Columbus Express,Midwest,Express,2024,9,2024-09-01,7346.41,14026.54,-47.6,7346.41,0.0,0.063
S030,Columbus Express,Midwest,Express,2024,10,2024-10-01,8787.04,15579.21,-43.6,8787.04,0.0,0.0645
S030,Columbus Express,Midwest,Express,2024,11,2024-11-01,8299.48,17073.81,-51.4,8299.48,0.0,0.0678
S030,Columbus Express,Midwest,Express,2024,12,2024-12-01,13804.61,21501.05,-35.8,13804.61,0.0,0.0697
S030,Columbus Express,Midwest,Express,2025,1,2025-01-01,8082.25,12809.7,-36.9,8082.25,0.0,0.069
S030,Columbus Express,Midwest,Express,2025,2,2025-02-01,7693.59,11927.62,-35.5,7693.59,0.0,0.0562
S030,Columbus Express,Midwest,Express,2025,3,2025-03-01,7248.42,15503.04,-53.2,7248.42,0.0,0.0495
S030,Columbus Express,Midwest,Express,2025,4,2025-04-01,7550.56,13786.74,-45.2,7550.56,0.0,0.072
S030,Columbus Express,Midwest,Express,2025,5,2025-05-01,8641.97,18607.77,-53.6,8641.97,0.0,0.104
S030,Columbus Express,Midwest,Express,2025,6,2025-06-01,10370.98,15139.06,-31.5,10370.98,0.0,0.0621
S030,Columbus Express,Midwest,Express,2025,7,2025-07-01,9876.22,15710.65,-37.1,9876.22,0.0,0.045
S030,Columbus Express,Midwest,Express,2025,8,2025-08-01,8429.57,16170.35,-47.9,8429.57,0.0,0.0574
S030,Columbus Express,Midwest,Express,2025,9,2025-09-01,5326.77,14265.24,-62.7,5326.77,0.0,0.0889
S030,Columbus Express,Midwest,Express,2025,10,2025-10-01,9349.45,18253.78,-48.8,9349.45,0.0,0.0722
